Year,Length,Title,Actor,Actress,Director,Popularity,Awards
64,49,1127,105,230,52,84,0
61,66,892,274,230,56,83,1
68,60,833,413,230,233,55,0
54,67,547,650,230,319,17,0
58,70,39,437,230,481,76,0
56,64,830,83,230,509,64,1
66,72,1104,565,230,516,66,0
66,55,209,272,231,159,42,0
57,78,387,270,231,329,33,0
54,75,1096,270,231,385,44,0
60,86,966,270,231,405,4,0
68,58,535,184,232,114,72,0
33,53,1068,470,233,189,52,0
34,74,514,363,233,588,84,0
8,143,948,623,234,361,51,0
67,43,179,169,235,573,79,0
49,83,983,252,236,200,75,0
56,76,245,180,237,90,43,0
63,54,780,84,237,387,6,0
48,68,642,586,237,460,15,1
56,67,381,503,237,481,34,0
42,51,236,397,237,569,62,1
68,143,270,618,237,670,1,1
17,84,957,456,238,276,78,1
21,50,610,628,238,584,44,0
50,41,1088,501,239,565,31,0
69,39,801,336,240,242,26,0
66,37,1115,381,240,522,80,0
67,48,941,553,240,579,10,0
60,49,1217,103,241,135,30,0
68,72,1060,295,242,174,8,1
65,52,1103,273,242,320,76,0
49,46,804,180,242,419,33,0
65,143,432,521,242,670,88,0
32,143,166,216,243,94,66,0
66,57,791,161,244,561,32,1
64,46,116,26,245,277,45,0
11,39,864,395,246,76,57,0
8,28,595,16,246,95,66,0
7,46,89,54,246,95,0,0
3,63,439,243,246,95,72,0
5,44,1277,243,246,95,83,0
12,50,90,394,246,95,35,1
13,64,223,596,246,153,74,0
8,45,744,446,246,207,67,0
6,54,1257,581,246,223,70,0
9,66,504,33,246,245,81,1
8,38,1128,268,246,365,64,0
16,62,826,179,246,384,40,0
10,51,928,243,246,396,82,0
5,50,794,431,246,450,72,0
2,79,622,584,246,459,73,0
6,28,1063,22,246,510,73,0
9,26,103,179,246,670,85,0
7,30,984,581,246,670,62,0
39,59,5,363,247,109,60,0
59,70,1175,289,248,481,8,1
66,40,677,181,248,488,88,0
30,74,628,77,249,398,50,0
56,74,824,41,250,576,24,0
52,78,611,543,250,576,6,0
64,47,564,149,251,373,44,0
66,74,1190,150,251,658,49,0
52,65,197,623,252,271,64,0
56,43,207,170,253,70,75,0
63,76,1007,652,254,586,77,0
36,56,562,623,255,216,76,0
31,62,695,438,256,263,56,0
38,88,579,437,257,518,43,1
60,63,1093,180,258,299,3,0
65,54,256,460,259,442,60,0
64,56,210,251,259,646,44,0
63,74,269,145,259,670,69,0
55,71,177,572,260,442,11,0
65,88,942,289,261,368,8,1
43,49,742,372,262,240,20,0
41,8,858,477,263,578,27,0
65,143,721,147,263,670,62,0
56,119,661,463,264,154,62,0
68,143,1254,362,265,670,74,0
9,21,837,375,266,276,66,0
63,74,732,478,267,402,19,0
67,80,188,272,268,165,82,0
65,69,1282,217,268,451,25,0
69,87,1048,180,268,557,11,0
68,30,1069,119,269,670,40,0
65,53,1168,592,270,348,2,0
68,90,1145,544,271,103,8,0
61,62,1146,544,271,103,17,0
63,59,637,346,271,253,20,0
46,79,1155,148,272,670,59,0
68,123,106,48,273,34,81,0
67,143,290,416,273,67,61,0
69,53,754,117,273,107,58,0
62,54,255,510,273,113,73,0
60,36,426,655,273,162,24,0
61,47,960,495,273,212,14,0
66,143,552,451,273,316,53,0
64,61,992,396,273,540,66,0
59,71,168,217,273,550,1,0
64,80,1232,180,273,586,6,1
69,65,904,534,273,670,58,0
66,43,53,71,274,670,59,0
15,139,436,92,275,596,82,0
13,43,679,487,276,133,86,0
53,53,594,181,277,101,85,0
65,42,183,406,277,349,65,0
60,47,1142,187,278,57,61,1
64,50,822,245,279,42,5,0
66,41,1222,652,280,151,36,0
68,50,600,538,280,281,23,0
63,64,553,362,281,441,8,0
64,47,187,634,282,670,51,0
66,58,1134,574,283,340,9,0
47,48,1153,549,284,81,41,0
61,54,1132,537,284,174,81,0
55,66,448,117,284,273,46,0
59,63,139,514,284,310,74,0
49,63,215,6,284,324,82,1
64,66,861,537,284,406,6,0
51,57,482,291,284,429,23,0
69,56,570,396,284,458,14,0
63,60,1262,339,284,508,22,0
61,54,922,541,284,516,53,0
57,56,1033,117,284,532,49,0
51,63,1118,324,284,576,28,0
57,64,918,20,284,665,61,0
68,69,323,281,284,670,55,0
8,49,101,125,285,216,84,0
49,32,1012,408,286,595,84,0
41,86,253,623,287,264,29,0
29,52,50,216,287,564,49,0
25,41,652,628,287,633,16,0
17,35,653,2,287,618,57,0
23,64,481,216,287,618,57,0
25,52,705,216,287,618,48,0
67,59,345,37,288,47,84,0
41,84,738,127,289,276,2,0
64,39,563,492,290,211,0,0
61,44,620,483,291,265,3,0
62,49,1097,585,291,279,27,0
26,38,1158,390,292,59,87,0
41,115,790,276,293,153,10,1
37,77,1211,363,293,296,32,0
53,60,977,127,293,367,6,0
38,63,244,232,293,656,60,0
33,75,945,363,294,17,21,0
29,49,877,608,294,153,48,0
45,88,685,451,294,262,78,1
68,86,1023,608,294,327,75,0
44,62,512,608,294,343,50,1
34,106,335,608,294,354,51,0
52,61,989,623,294,430,76,0
58,63,843,213,294,528,23,1
68,55,44,608,294,670,62,0
68,70,189,608,294,670,73,0
68,99,363,608,294,670,34,0
68,69,688,608,294,670,22,0
68,67,889,608,294,670,25,0
68,66,1272,608,294,670,66,0
68,67,1278,608,294,670,12,0
69,49,626,551,295,178,31,0
63,68,560,266,296,16,2,0
64,66,1164,181,296,368,50,0
65,112,663,150,296,549,32,0
68,53,871,300,296,670,53,0
65,41,1082,484,297,497,42,0
43,74,20,555,298,666,20,1
63,44,643,371,299,194,89,0
66,37,743,386,300,86,9,0
20,137,49,93,301,596,77,0
69,42,46,337,302,602,19,0
64,49,70,598,303,278,71,0
57,53,218,117,304,492,70,0
50,56,1170,633,305,594,11,0
64,48,974,207,306,120,5,0
24,12,532,167,307,596,61,0
5,102,1140,33,308,597,33,0
63,44,997,625,309,446,63,0
64,59,914,57,310,317,71,0
11,34,624,528,311,216,9,0
27,58,530,578,312,341,42,0
68,43,583,262,313,645,10,0
64,48,947,103,314,126,23,0
66,68,847,181,314,258,68,0
57,64,702,170,315,476,65,0
59,90,1283,645,316,274,59,0
57,60,1226,345,317,227,62,0
17,81,832,608,318,619,51,0
64,66,470,100,319,139,27,0
66,75,393,561,319,416,5,0
69,56,45,333,319,575,8,0
9,20,454,219,320,96,61,0
68,62,807,27,321,186,60,0
67,47,26,230,322,43,1,0
57,83,272,181,322,456,45,0
65,51,298,518,322,567,6,0
59,74,1100,348,323,635,73,0
64,43,213,602,324,44,17,0
50,57,31,547,324,220,79,1
47,83,1280,35,324,527,18,0
65,43,1006,323,324,527,76,0
63,54,233,129,325,112,5,0
32,62,1071,60,326,59,58,0
66,44,812,320,327,305,88,0
58,86,757,76,328,590,80,1
4,16,376,188,329,276,45,0
14,15,1131,219,330,670,6,0
68,37,1114,159,331,283,3,0
60,44,169,105,332,183,10,0
64,40,1111,300,333,147,47,0
67,85,33,418,333,670,44,0
63,54,80,237,334,392,74,0
40,53,135,77,335,369,7,0
68,71,285,304,335,670,43,0
65,56,817,523,336,641,43,0
25,54,905,194,337,59,29,0
50,57,867,450,338,73,3,1
60,51,1287,116,338,157,34,0
52,45,48,641,338,644,42,0
67,62,437,300,339,11,19,0
54,43,1284,641,339,644,42,0
32,22,633,562,340,345,66,0
65,57,324,91,341,425,14,0
60,51,199,241,342,417,51,0
66,99,192,143,343,586,8,1
68,74,110,163,344,408,8,0
54,48,91,9,345,7,68,1
56,50,731,9,345,7,82,1
58,127,962,37,345,47,76,1
63,59,294,560,345,57,84,0
54,90,699,23,345,94,54,0
49,118,489,77,345,139,8,1
51,130,488,462,345,137,89,2
53,63,582,254,345,463,6,0
49,40,895,9,345,516,81,0
52,36,703,9,345,670,84,0
50,42,1067,9,345,670,59,0
47,84,417,486,346,200,88,0
57,71,445,545,347,30,82,0
54,97,164,555,347,221,76,0
54,78,185,462,347,481,36,0
49,52,666,18,348,531,40,0
30,70,770,226,349,216,71,0
32,57,1165,257,349,276,69,0
31,67,956,578,349,276,25,0
22,24,1276,357,350,130,26,0
16,55,1092,608,350,333,11,0
33,83,119,328,350,359,69,0
66,67,678,242,351,185,69,0
69,33,170,416,351,268,69,0
4,18,371,34,352,628,89,0
55,99,1125,77,353,185,87,0
64,44,1124,506,353,228,77,0
47,44,927,641,353,627,49,0
66,50,315,434,354,453,1,0
67,61,314,143,354,551,3,0
64,55,792,247,355,258,21,0
60,143,776,170,356,51,29,0
61,104,870,576,356,635,27,0
61,50,1210,416,356,665,73,0
64,49,208,105,357,650,8,0
66,58,394,521,358,314,25,0
64,44,364,505,358,332,71,0
63,44,526,404,359,335,41,0
46,56,943,100,360,139,78,0
61,60,37,648,361,661,78,0
12,10,332,623,362,129,50,0
67,52,71,290,363,142,14,0
63,52,297,290,363,197,66,0
54,81,81,300,364,635,35,0
66,73,1032,84,365,460,53,0
64,42,100,255,366,71,62,0
66,40,362,570,366,138,55,0
64,44,825,479,367,350,15,0
67,64,795,430,368,307,23,0
55,68,486,363,369,482,67,0
63,43,1193,253,370,100,79,0
30,48,1203,419,371,432,82,0
46,34,958,440,372,127,44,0
65,52,893,303,372,135,4,0
58,73,1253,181,373,35,62,0
65,70,999,287,373,387,2,0
67,55,466,641,373,452,60,0
62,72,6,180,374,25,71,0
63,38,1106,425,375,69,28,0
64,63,157,171,376,77,11,0
60,48,993,171,376,139,4,0
60,45,860,305,376,139,56,0
67,48,915,362,376,203,7,0
66,47,1113,465,376,275,65,0
67,69,755,303,377,89,66,0
65,81,396,494,377,254,62,0
69,82,229,163,377,549,7,0
69,75,907,440,377,670,24,0
26,14,289,649,378,596,19,0
55,63,476,170,379,70,78,1
48,91,195,225,380,527,8,0
67,54,528,546,381,395,49,0
37,63,923,475,382,276,56,0
34,66,614,623,382,582,43,0
64,49,1208,433,383,585,36,0
28,76,30,77,384,327,75,1
63,47,495,427,385,508,86,0
48,38,1101,442,386,10,80,0
62,82,248,99,386,357,69,0
66,70,587,647,387,310,76,0
55,86,1255,96,388,421,21,0
51,44,1025,181,389,45,21,0
57,70,204,191,389,190,57,0
54,63,474,191,389,190,18,0
63,59,951,607,389,376,1,0
15,50,649,504,390,276,27,0
64,49,641,471,391,282,41,0
36,42,230,599,392,81,63,0
6,23,939,19,393,272,2,0
18,49,784,415,393,276,3,0
63,86,72,222,394,495,47,0
59,55,700,143,395,261,4,0
64,68,601,67,396,238,34,0
68,16,194,439,397,172,9,0
68,48,1050,176,397,225,31,0
37,55,542,496,398,153,52,0
38,54,1201,39,398,166,83,1
31,61,494,164,398,166,40,0
40,72,1289,400,398,166,73,1
34,63,676,623,398,264,84,0
55,65,198,114,398,287,53,0
41,124,405,74,398,399,62,0
38,116,379,284,398,399,10,0
35,68,333,475,398,401,13,0
30,46,1200,571,398,414,54,0
36,143,162,496,398,509,54,0
54,45,88,499,398,530,80,0
54,59,28,400,398,548,80,1
56,66,175,400,398,637,52,0
68,99,1078,236,398,670,49,0
67,143,995,376,398,670,2,0
68,84,728,451,398,670,55,0
69,70,853,474,398,670,1,0
63,95,283,644,398,670,56,0
63,48,935,8,399,445,75,0
69,52,1026,305,399,670,55,0
56,39,261,463,400,379,17,0
68,72,1149,226,401,670,13,0
20,19,97,219,402,48,83,0
63,79,765,163,403,312,20,0
68,56,300,40,404,291,2,0
39,104,691,399,405,345,80,0
66,55,1039,573,406,574,89,2
67,61,509,170,406,631,25,0
65,49,473,429,407,553,73,0
56,83,136,549,408,23,31,1
60,86,1147,440,408,92,32,1
44,53,1275,549,408,166,36,0
45,143,173,66,408,420,86,0
67,55,906,494,408,451,63,0
47,59,1199,191,408,566,36,0
69,38,365,654,409,670,71,0
16,39,114,219,410,289,83,0
65,54,250,657,411,167,74,0
68,72,716,657,411,330,54,0
69,16,4,469,411,370,24,0
68,6,805,635,411,670,65,0
67,16,585,657,411,670,32,0
64,7,715,657,411,670,75,0
67,0,713,657,411,670,77,0
68,1,714,657,411,670,63,0
65,37,566,251,412,179,78,0
63,57,429,559,412,231,9,0
67,74,565,325,412,286,70,0
51,78,74,443,413,200,50,1
65,39,232,126,414,409,33,0
57,48,856,300,415,286,4,0
26,64,1010,623,416,189,72,0
58,58,520,105,417,586,44,0
66,35,325,131,418,380,15,0
32,46,584,139,419,200,70,0
63,84,380,191,420,190,77,0
63,84,536,191,420,190,61,0
54,64,501,181,420,516,6,1
68,67,108,295,420,670,62,0
58,40,903,173,421,670,68,0
68,98,978,135,422,145,8,0
69,55,1248,150,422,182,38,0
63,73,264,437,422,549,6,1
63,73,243,310,423,257,20,1
63,143,745,30,424,8,34,0
66,42,1281,30,424,8,65,0
57,40,884,532,424,8,66,0
66,54,444,113,425,328,69,0
69,43,434,363,426,670,0,0
67,46,56,353,427,562,28,0
67,64,769,47,427,670,18,0
69,49,971,110,428,375,71,0
44,35,485,300,429,355,27,0
67,120,303,135,430,145,8,1
64,84,747,329,430,536,81,0
65,74,766,266,431,465,41,1
52,84,377,191,432,190,69,0
65,63,1213,556,433,40,75,0
68,52,237,627,433,201,6,0
65,64,41,137,433,322,71,1
66,63,1268,537,433,342,30,0
60,55,967,131,433,429,2,0
64,56,711,313,433,523,57,0
63,63,1176,143,433,551,8,0
62,66,1273,217,433,631,59,0
65,65,569,155,433,670,6,0
61,63,938,473,434,54,50,0
60,52,706,416,434,88,51,0
65,60,1044,309,434,670,18,0
42,129,508,591,435,583,26,0
66,59,533,152,436,429,11,0
58,45,1075,450,437,58,17,0
34,43,878,178,438,345,47,0
41,74,1169,614,439,160,39,1
52,57,1122,95,440,516,35,1
65,52,219,398,441,21,34,0
67,71,598,241,442,202,3,0
68,131,608,135,442,586,78,0
68,51,811,568,443,614,80,0
68,41,1018,9,444,670,8,0
64,72,561,280,445,80,3,0
47,126,1003,411,445,360,81,1
50,81,724,514,445,533,40,0
39,77,726,578,446,216,85,0
66,56,318,325,447,221,9,0
65,44,156,511,447,337,17,0
37,57,1163,597,448,461,88,0
49,82,216,261,449,218,59,1
58,51,102,416,449,243,79,1
53,51,21,75,449,431,70,0
54,91,813,163,449,549,8,0
66,43,821,198,450,284,89,2
57,54,420,549,451,255,29,0
68,135,449,101,452,249,3,0
27,66,105,279,453,296,77,0
69,17,648,233,453,323,60,0
30,49,571,487,453,447,65,0
60,143,554,63,453,670,27,0
68,48,834,107,454,33,25,0
64,63,1269,199,454,196,25,0
63,48,848,149,454,280,61,0
66,64,1236,163,454,316,51,0
61,56,828,144,454,538,10,0
67,81,479,589,454,668,6,1
63,67,38,382,454,669,66,0
59,61,1064,416,455,67,73,0
25,43,965,216,456,371,35,0
29,53,267,363,456,400,50,1
51,71,491,170,457,70,66,0
47,53,774,397,457,219,29,0
32,54,785,628,458,633,80,0
65,143,1249,342,459,104,48,0
45,44,920,641,460,93,33,0
53,48,462,9,460,509,70,0
64,40,568,15,461,241,45,0
65,45,589,56,462,83,72,0
