Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
40,51,1250,2,328,153,519,37,0,0.0
67,68,1347,2,141,154,249,51,0,2.0
70,95,302,4,674,154,341,87,0,2.0
44,59,114,13,83,155,243,15,0,0.0
64,48,1329,2,691,156,212,49,0,2.0
69,56,665,4,76,157,36,72,0,1.0
39,26,1503,2,421,158,146,4,0,1.0
68,70,1592,1,206,159,202,66,0,2.0
40,70,1428,4,402,160,83,11,1,1.0
67,50,1184,10,418,161,613,20,0,2.0
69,55,1045,6,466,162,651,31,0,2.0
67,63,1138,6,292,163,385,27,0,2.0
70,21,87,7,553,164,712,13,0,2.0
55,83,1364,2,507,165,297,82,0,1.0
65,69,1074,2,359,166,9,3,0,2.0
66,68,14,2,129,167,155,7,1,2.0
32,56,17,2,65,170,59,48,0,1.0
35,42,240,4,369,170,59,57,0,1.0
64,80,171,4,16,171,51,71,0,2.0
57,82,641,7,623,168,231,67,0,0.0
67,57,1032,2,126,168,598,81,0,2.0
52,84,406,1,653,172,381,81,1,0.0
68,66,66,2,31,173,7,22,0,1.0
58,50,519,8,331,169,29,74,0,0.0
68,54,1371,4,398,169,744,35,0,2.0
49,34,1133,4,636,174,146,36,0,1.0
47,88,1525,13,720,174,285,77,1,0.0
20,3,154,12,151,175,229,75,0,0.0
26,63,1478,13,720,175,229,72,0,0.0
43,93,720,8,147,176,3,89,2,0.0
24,70,34,4,236,176,62,20,0,1.0
17,56,1078,4,88,176,260,18,0,1.0
28,98,73,4,621,176,440,23,1,0.0
64,56,545,6,276,177,158,33,0,2.0
68,49,1190,2,493,177,237,24,0,2.0
66,53,836,6,285,178,596,16,0,2.0
67,64,1205,4,316,178,596,53,0,2.0
34,80,921,8,662,179,299,15,0,0.0
70,50,158,10,448,180,132,14,0,2.0
18,80,550,8,464,181,299,61,0,0.0
27,75,669,4,594,182,745,81,1,0.0
64,80,231,4,702,185,114,25,0,2.0
53,49,1461,0,137,186,743,4,0,0.0
20,45,1590,4,720,187,26,36,0,1.0
67,80,427,4,5,188,396,5,0,2.0
68,53,340,4,84,188,528,33,0,2.0
45,50,472,4,54,189,729,28,0,0.0
70,46,718,0,722,190,99,16,0,2.0
65,46,498,0,239,190,759,24,0,2.0
67,55,1214,0,481,191,759,83,0,2.0
61,59,1247,2,156,183,91,28,0,2.0
58,63,724,4,184,192,63,40,0,1.0
64,68,898,4,409,192,121,15,0,2.0
61,74,858,8,477,192,138,15,0,2.0
59,95,294,0,477,192,148,87,0,0.0
55,67,937,12,294,192,572,59,0,0.0
58,95,840,4,184,192,696,66,0,0.0
64,80,769,4,477,193,63,87,1,2.0
67,87,506,4,507,194,341,86,0,2.0
68,85,1609,4,110,194,428,6,0,2.0
67,73,502,0,137,184,427,5,0,2.0
66,63,1394,4,528,184,468,19,0,2.0
59,54,892,10,226,195,156,62,0,0.0
67,49,528,0,295,196,334,10,0,2.0
68,17,167,2,11,196,759,12,0,2.0
18,43,1331,4,720,197,244,24,0,1.0
39,136,795,4,698,197,377,39,1,0.0
67,21,969,2,685,198,759,12,0,2.0
68,57,1071,2,634,199,759,72,0,2.0
65,90,1615,4,253,200,723,71,0,2.0
69,116,1550,4,345,200,723,57,0,0.0
65,78,276,4,581,201,580,41,0,2.0
71,7,65,8,322,202,759,60,0,2.0
69,59,405,2,47,203,110,78,0,1.0
57,70,628,8,137,204,156,7,0,0.0
69,70,649,4,237,204,326,81,0,2.0
69,62,712,4,329,204,697,33,0,2.0
24,57,1013,13,232,205,229,12,0,0.0
28,46,1572,13,361,206,229,30,0,0.0
27,53,1341,13,720,206,229,84,0,0.0
63,50,504,2,332,207,467,82,0,2.0
64,47,983,2,284,208,163,39,0,2.0
70,45,437,4,207,209,373,69,0,2.0
54,76,1036,2,224,209,427,48,1,0.0
52,91,292,4,510,209,541,55,1,0.0
53,77,1477,4,578,209,542,87,0,0.0
55,94,1571,4,676,209,583,34,0,0.0
65,57,149,4,615,209,616,23,0,2.0
68,64,1574,4,447,209,759,20,0,2.0
25,78,872,2,560,210,162,10,0,1.0
21,161,16,4,698,210,222,42,0,0.0
52,77,1405,4,42,211,571,1,0,0.0
59,77,1488,2,129,212,251,5,0,2.0
58,104,1345,6,510,212,379,32,0,0.0
23,51,538,13,720,213,352,54,0,0.0
71,52,1028,2,631,214,759,34,0,2.0
57,52,243,6,581,215,158,51,0,0.0
48,83,980,0,137,215,576,3,0,0.0
62,65,174,2,492,216,89,41,0,2.0
69,46,201,8,703,216,553,64,0,2.0
39,100,826,4,458,217,213,20,0,0.0
44,63,59,2,631,218,175,60,0,1.0
52,87,929,0,481,218,278,41,0,0.0
63,56,936,0,687,218,291,45,0,2.0
45,63,218,2,631,218,522,80,0,0.0
71,14,178,7,46,219,759,48,0,2.0
70,57,806,8,350,220,740,8,0,2.0
65,54,802,4,414,221,614,41,0,2.0
65,54,265,4,204,222,112,38,0,2.0
34,61,792,4,236,223,169,32,0,1.0
63,44,1185,2,5,224,7,20,1,1.0
62,45,241,2,11,224,7,14,0,1.0
70,68,719,2,11,224,7,80,0,1.0
64,63,647,2,112,224,7,8,1,2.0
57,75,715,0,598,224,695,8,0,0.0
64,55,173,4,515,225,31,52,0,2.0
59,56,268,2,590,225,493,80,0,2.0
14,30,438,2,517,226,136,28,0,1.0
56,160,689,4,75,227,120,1,0,0.0
68,63,962,10,357,228,39,47,0,2.0
70,50,422,4,731,228,419,67,0,2.0
66,55,621,0,581,229,364,2,0,2.0
65,55,1434,2,112,230,52,84,0,1.0
62,72,1145,4,306,230,56,83,1,2.0
69,66,1068,4,476,230,248,55,0,2.0
55,73,677,4,751,230,349,17,0,0.0
59,76,44,4,507,230,542,76,0,0.0
57,70,1064,4,90,230,576,64,1,0.0
67,78,1407,4,648,230,585,66,0,2.0
67,61,247,2,302,231,167,42,0,2.0
58,84,473,10,299,231,362,33,0,0.0
55,81,1399,10,299,231,423,44,0,0.0
61,92,1236,10,299,231,447,4,0,0.0
69,64,662,4,199,232,119,72,0,2.0
34,59,1366,0,541,233,201,52,0,1.0
35,80,638,13,410,233,667,84,0,0.0
9,161,1211,13,720,234,395,51,0,0.0
68,49,211,2,183,235,648,79,0,2.0
50,89,1260,4,278,236,213,75,0,1.0
57,82,291,4,195,237,92,43,0,1.0
64,60,997,8,91,237,427,6,0,2.0
49,74,820,4,671,237,516,15,1,0.0
57,73,467,2,578,237,542,34,0,0.0
43,57,277,2,455,237,642,62,1,0.0
69,161,324,4,709,237,759,1,1,0.0
18,90,1224,4,527,238,299,78,1,1.0
22,56,766,4,727,238,660,44,0,0.0
51,47,1391,0,575,239,638,31,0,0.0
70,45,1027,8,375,240,257,26,0,2.0
67,43,1422,8,431,240,591,80,0,2.0
68,54,1202,8,635,240,654,10,0,2.0
61,55,1555,2,110,241,142,30,0,2.0
69,78,1358,8,329,242,184,8,1,2.0
66,58,1406,4,305,242,351,76,0,2.0
50,52,1030,2,195,242,461,33,0,0.0
66,161,535,4,600,242,759,88,0,0.0
33,161,195,4,236,243,96,66,0,0.0
67,63,1015,4,174,244,633,32,1,2.0
65,52,136,2,29,245,300,45,0,2.0
12,45,1111,4,452,246,76,57,0,1.0
9,34,747,4,18,246,97,66,0,1.0
8,52,103,4,59,246,97,0,0,1.0
4,69,542,4,269,246,97,72,0,1.0
6,50,1629,4,269,246,97,83,0,1.0
13,56,104,4,449,246,97,35,1,1.0
14,70,263,4,686,246,160,74,0,1.0
9,51,944,4,516,246,220,67,0,1.0
7,60,1605,4,666,246,238,70,0,1.0
10,72,624,4,36,246,260,81,1,1.0
9,44,1437,4,296,246,401,64,0,1.0
