Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
8,45,744,4,446,246,207,67,0,1
6,54,1257,4,581,246,223,70,0,1
9,66,504,4,33,246,245,81,1,1
8,38,1128,4,268,246,365,64,0,1
16,62,826,2,179,246,384,40,0,1
10,51,928,4,243,246,396,82,0,1
5,50,794,4,431,246,450,72,0,1
2,79,622,4,584,246,459,73,0,1
6,28,1063,4,22,246,510,73,0,1
9,26,103,4,179,246,670,85,0,2
7,30,984,4,581,246,670,62,0,2
39,59,5,4,363,247,109,60,0,1
59,70,1175,2,289,248,481,8,1,0
66,40,677,2,181,248,488,88,0,1
30,74,628,4,77,249,398,50,0,1
56,74,824,2,41,250,576,24,0,2
52,78,611,0,543,250,576,6,0,2
64,47,564,4,149,251,373,44,0,2
66,74,1190,4,150,251,658,49,0,2
52,65,197,4,623,252,271,64,0,1
56,43,207,2,170,253,70,75,0,1
63,76,1007,4,652,254,586,77,0,2
36,56,562,13,623,255,216,76,0,1
31,62,695,0,438,256,263,56,0,1
38,88,579,4,437,257,518,43,1,2
60,63,1093,4,180,258,299,3,0,0
65,54,256,4,460,259,442,60,0,2
64,56,210,2,251,259,646,44,0,2
63,74,269,2,145,259,670,69,0,2
55,71,177,4,572,260,442,11,0,2
65,88,942,4,289,261,368,8,1,0
43,49,742,4,372,262,240,20,0,0
41,8,858,10,477,263,578,27,0,2
65,143,721,6,147,263,670,62,0,2
56,119,661,13,463,264,154,62,0,1
68,143,1254,2,362,265,670,74,0,2
9,21,837,3,375,266,276,66,0,1
63,74,732,4,478,267,402,19,0,0
67,80,188,4,272,268,165,82,0,1
65,69,1282,2,217,268,451,25,0,0
69,87,1048,8,180,268,557,11,0,2
68,30,1069,6,119,269,670,40,0,2
65,53,1168,2,592,270,348,2,0,0
68,90,1145,0,544,271,103,8,0,0
61,62,1146,0,544,271,103,17,0,0
63,59,637,0,346,271,253,20,0,0
46,79,1155,2,148,272,670,59,0,2
68,123,106,4,48,273,34,81,0,1
67,143,290,2,416,273,67,61,0,1
69,53,754,2,117,273,107,58,0,1
62,54,255,4,510,273,113,73,0,1
60,36,426,6,655,273,162,24,0,0
61,47,960,4,495,273,212,14,0,0
66,143,552,2,451,273,316,53,0,1
64,61,992,2,396,273,540,66,0,2
59,71,168,0,217,273,550,1,0,2
64,80,1232,4,180,273,586,6,1,2
69,65,904,4,534,273,670,58,0,2
66,43,53,4,71,274,670,59,0,2
15,139,436,13,92,275,596,82,0,1
13,43,679,2,487,276,133,86,0,1
53,53,594,4,181,277,101,85,0,1
65,42,183,4,406,277,349,65,0,1
60,47,1142,4,187,278,57,61,1,1
64,50,822,4,245,279,42,5,0,0
66,41,1222,6,652,280,151,36,0,0
68,50,600,8,538,280,281,23,0,0
63,64,553,10,362,281,441,8,0,0
64,47,187,0,634,282,670,51,0,2
66,58,1134,0,574,283,340,9,0,0
47,48,1153,2,549,284,81,41,0,0
61,54,1132,4,537,284,174,81,0,1
55,66,448,2,117,284,273,46,0,1
59,63,139,2,514,284,310,74,0,1
49,63,215,4,6,284,324,82,1,1
64,66,861,2,537,284,406,6,0,0
51,57,482,4,291,284,429,23,0,2
69,56,570,2,396,284,458,14,0,2
63,60,1262,2,339,284,508,22,0,2
61,54,922,2,541,284,516,53,0,2
57,56,1033,2,117,284,532,49,0,2
51,63,1118,4,324,284,576,28,0,2
57,64,918,2,20,284,665,61,0,2
68,69,323,8,281,284,670,55,0,2
8,49,101,4,125,285,216,84,0,1
49,32,1012,4,408,286,595,84,0,2
41,86,253,4,623,287,264,29,0,0
29,52,50,4,216,287,564,49,0,2
25,41,652,8,628,287,633,16,0,2
17,35,653,4,2,287,618,57,0,2
23,64,481,4,216,287,618,57,0,2
25,52,705,4,216,287,618,48,0,2
67,59,345,2,37,288,47,84,0,1
41,84,738,4,127,289,276,2,0,0
64,39,563,8,492,290,211,0,0,0
61,44,620,2,483,291,265,3,0,0
62,49,1097,8,585,291,279,27,0,0
26,38,1158,4,390,292,59,87,0,1
41,115,790,7,276,293,153,10,1,0
37,77,1211,4,363,293,296,32,0,0
53,60,977,0,127,293,367,6,0,0
38,63,244,4,232,293,656,60,0,2
33,75,945,4,363,294,17,21,0,0
29,49,877,2,608,294,153,48,0,1
45,88,685,4,451,294,262,78,1,1
68,86,1023,13,608,294,327,75,0,1
44,62,512,4,608,294,343,50,1,1
34,106,335,2,608,294,354,51,0,1
52,61,989,13,623,294,430,76,0,1
58,63,843,4,213,294,528,23,1,2
68,55,44,2,608,294,670,62,0,2
68,70,189,4,608,294,670,73,0,2
68,99,363,4,608,294,670,34,0,2
68,69,688,4,608,294,670,22,0,2
68,67,889,2,608,294,670,25,0,2
68,66,1272,2,608,294,670,66,0,2
68,67,1278,2,608,294,670,12,0,2
69,49,626,4,551,295,178,31,0,0
63,68,560,4,266,296,16,2,0,0
64,66,1164,2,181,296,368,50,0,0
65,112,663,4,150,296,549,32,0,2
68,53,871,4,300,296,670,53,0,2
65,41,1082,4,484,297,497,42,0,2
43,74,20,4,555,298,666,20,1,2
63,44,643,4,371,299,194,89,0,1
66,37,743,6,386,300,86,9,0,0
20,137,49,8,93,301,596,77,0,1
69,42,46,0,337,302,602,19,0,2
64,49,70,2,598,303,278,71,0,1
57,53,218,2,117,304,492,70,0,2
50,56,1170,7,633,305,594,11,0,2
64,48,974,2,207,306,120,5,0,0
24,12,532,13,167,307,596,61,0,2
5,102,1140,4,33,308,597,33,0,2
63,44,997,4,625,309,446,63,0,2
64,59,914,4,57,310,317,71,0,1
11,34,624,4,528,311,216,9,0,0
27,58,530,2,578,312,341,42,0,1
68,43,583,0,262,313,645,10,0,2
64,48,947,2,103,314,126,23,0,0
66,68,847,2,181,314,258,68,0,1
57,64,702,4,170,315,476,65,0,2
59,90,1283,4,645,316,274,59,0,1
57,60,1226,10,345,317,227,62,0,1
17,81,832,0,608,318,619,51,0,2
64,66,470,4,100,319,139,27,0,0
66,75,393,4,561,319,416,5,0,0
69,56,45,2,333,319,575,8,0,2
9,20,454,6,219,320,96,61,0,1
68,62,807,2,27,321,186,60,0,1
67,47,26,4,230,322,43,1,0,0
57,83,272,4,181,322,456,45,0,2
65,51,298,2,518,322,567,6,0,2
59,74,1100,4,348,323,635,73,0,2
64,43,213,2,602,324,44,17,0,0
50,57,31,2,547,324,220,79,1,1
47,83,1280,4,35,324,527,18,0,0
65,43,1006,2,323,324,527,76,0,2
